Year,Observations,Annualised_Return,Annualised_Volatility,Positive_Class_Rate
2014,252,0.1263136897764543,0.11256864280342245,0.5912698412698413
2015,252,0.01226728236352961,0.1545078362755472,0.4801587301587302
2016,252,0.11330980061233714,0.13078059916697482,0.5476190476190477
2017,251,0.1972157588357792,0.06744691688802688,0.5697211155378487
2018,251,-0.046952736257826234,0.1708067397259095,0.5298804780876494
2019,252,0.27173447837926745,0.1252893075048285,0.5952380952380952
2020,253,0.16765574580779427,0.3364775241516661,0.5731225296442688
2021,252,0.2525373156312366,0.1299396065623084,0.5833333333333334
2022,251,-0.20139108863340852,0.24259243519050874,0.4302788844621514
2023,250,0.23436585740836585,0.1306508305115017,0.56
