Candidate,Fold,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
XGBoost Standalone,1,83.0,0.4457831325301205,0.8072289156626506,0.5421686746987951,0.5763807285546416,0.6122209165687426,0.5138002783933967,0.5108560794044665,0.4925373134328358,0.8918918918918919,0.1924846835552661,0.307414087351556,0.8644962499792244
XGBoost Standalone,2,83.0,0.40963855421686746,0.9036144578313253,0.43373493975903615,0.5069027611044418,0.5240096038415366,0.4778286801026213,0.3721229679703847,0.41333333333333333,0.9117647058823529,0.02300460138046016,0.3889316245380921,1.0803723532170961
XGBoost Standalone,3,83.0,0.5301204819277109,0.7228915662650602,0.5662650602409639,0.553030303030303,0.6480186480186481,0.6612123135399264,0.5366004962779156,0.5666666666666667,0.7727272727272727,0.11826962043626377,0.2520310396149207,0.7198318109960222
XGBoost Standalone,4,83.0,0.5783132530120482,0.7831325301204819,0.6024096385542169,0.5595238095238095,0.5642857142857143,0.6321436796112374,0.5426615461679747,0.6153846153846154,0.8333333333333334,0.14265349750363765,0.2673876967766148,0.7846846641844643
XGBoost Standalone,5,83.0,0.5662650602409639,0.7349397590361446,0.46987951807228917,0.4376477541371158,0.423758865248227,0.5318795733619647,0.4169859514687101,0.5245901639344263,0.6808510638297872,-0.140025140797086,0.3093563012242003,0.841330452514865
Equal-Weight Voting: Four Models,1,83.0,0.4457831325301205,0.9397590361445783,0.4578313253012048,0.5055816686251469,0.6116333725029377,0.5250389710098868,0.36317135549872126,0.44871794871794873,0.9459459459459459,0.023320696637986152,0.2635325746244248,0.7211064313895844
Equal-Weight Voting: Four Models,2,83.0,0.40963855421686746,0.963855421686747,0.37349397590361444,0.45588235294117646,0.5072028811524609,0.4566764902793794,0.2719298245614035,0.3875,0.9117647058823529,-0.23247390745427501,0.29104788764567424,0.7783779897924646
Equal-Weight Voting: Four Models,3,83.0,0.5301204819277109,0.8433734939759037,0.5662650602409639,0.5457459207459208,0.675990675990676,0.7139161650375335,0.4959514170040486,0.5571428571428572,0.8863636363636364,0.12563779753510307,0.23739437439014954,0.6671515801705773
Equal-Weight Voting: Four Models,4,83.0,0.5783132530120482,0.8674698795180723,0.5903614457831325,0.5336309523809524,0.5511904761904762,0.6185272740131652,0.48876811594202896,0.5972222222222222,0.8958333333333334,0.09796280497827305,0.2416861610515221,0.676635120751551
Equal-Weight Voting: Four Models,5,83.0,0.5662650602409639,0.8192771084337349,0.4819277108433735,0.4385342789598109,0.4296690307328605,0.5429438372537218,0.3914748508098892,0.5294117647058824,0.7659574468085106,-0.15832994821784466,0.2571308278746156,0.707812561037514
Equal-Weight Voting: Three Models,1,83.0,0.4457831325301205,0.891566265060241,0.4578313253012048,0.5002937720329025,0.6116333725029377,0.5250389710098868,0.3882063882063882,0.44594594594594594,0.8918918918918919,0.0009392541173742108,0.26684733302269975,0.72884112182966
