Feature_A,Feature_B,Correlation,Absolute_Correlation,Group_A,Group_B
STOCHASTIC_K_14,WILLIAMS_R_14,1.0,1.0,Momentum,Momentum
EMA_12_TO_26,MACD_NORMALISED,0.9969279344175228,0.9969279344175228,Trend,Trend
PARKINSON_VOLATILITY_21,GARMAN_KLASS_VOLATILITY_21,0.9963839185178927,0.9963839185178927,Volatility,Volatility
PARKINSON_VOLATILITY_10,GARMAN_KLASS_VOLATILITY_10,0.9944349157362421,0.9944349157362421,Volatility,Volatility
VOLATILITY_63,DOWNSIDE_VOLATILITY_63,0.991240122526198,0.991240122526198,Volatility,Volatility
SMA_10_TO_50,MACD_SIGNAL_NORMALISED,0.9864307909507168,0.9864307909507168,Trend,Trend
VOLATILITY_21,GARMAN_KLASS_VOLATILITY_21,0.9743936750282597,0.9743936750282597,Volatility,Volatility
VOLATILITY_21,DOWNSIDE_VOLATILITY_21,0.9739835260785623,0.9739835260785623,Volatility,Volatility
VOLATILITY_21,PARKINSON_VOLATILITY_21,0.9735497249218692,0.9735497249218692,Volatility,Volatility
GARMAN_KLASS_VOLATILITY_10,ATR_14_NORMALISED,0.9618453139527766,0.9618453139527766,Volatility,Volatility
PARKINSON_VOLATILITY_10,ATR_14_NORMALISED,0.9574695864016713,0.9574695864016713,Volatility,Volatility
DOWNSIDE_VOLATILITY_21,ATR_14_NORMALISED,0.9567146080814015,0.9567146080814015,Volatility,Volatility
VOLATILITY_10,ATR_14_NORMALISED,0.9542904535484539,0.9542904535484539,Volatility,Volatility
VOLATILITY_10,PARKINSON_VOLATILITY_10,0.9526016171432825,0.9526016171432825,Volatility,Volatility
CLOSE_TO_SMA_50,EMA_12_TO_26,0.9519083328468628,0.9519083328468628,Trend,Trend
