Model,Fold,Training Start,Training End,Validation Start,Validation End,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
Dummy Prior,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,1.0,0.584,0.5,0.5,0.584,0.3686868686868687,0.584,1.0,0.0,0.24494503988377514,0.6830195840975887
Dummy Prior,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,1.0,0.528,0.5,0.5,0.528,0.34554973821989526,0.528,1.0,0.0,0.2496701018093827,0.6924931769674579
Dummy Prior,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,1.0,0.588,0.5,0.5,0.588,0.3702770780856423,0.588,1.0,0.0,0.2440968444560167,0.6813142505422631
Dummy Prior,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,1.0,0.576,0.5,0.5,0.576,0.36548223350253806,0.576,1.0,0.0,0.24479140876260144,0.6827019027738781
Dummy Prior,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,1.0,0.58,0.5,0.5,0.58,0.3670886075949367,0.58,1.0,0.0,0.24419753086419757,0.681506956454087
Elastic-Net Logistic,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,0.344,0.456,0.4816912539515279,0.4542939936775553,0.564790008209388,0.45316520844055586,0.5581395348837209,0.3287671232876712,-0.03799360859718046,0.288585365029433,0.7781121085106927
Elastic-Net Logistic,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,0.468,0.46,0.46167180277349773,0.45390344119157683,0.502782176901811,0.45999135986175776,0.48717948717948717,0.4318181818181818,-0.07669333195548696,0.2727461833598107,0.7416481259278285
Elastic-Net Logistic,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,0.32,0.444,0.4749025823921802,0.5065715606631003,0.598316195866085,0.4392538445401881,0.55,0.29931972789115646,-0.052962302606142125,0.26074099938952916,0.7148591776260637
Elastic-Net Logistic,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,0.212,0.46,0.5038653039832286,0.4847353249475891,0.5617935040740366,0.43458812886364784,0.5849056603773585,0.2152777777777778,0.009347097669727304,0.3125018109426601,0.8415207052547922
Elastic-Net Logistic,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,0.112,0.436,0.4980295566502463,0.48019704433497534,0.5785240469299351,0.37688921885771864,0.5714285714285714,0.1103448275862069,-0.006167612739662079,0.2683779960784374,0.7307675501553527
Calibrated RBF SVM,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,0.22,0.468,0.5154768177028451,0.5069151738672286,0.6099458337171692,0.44674620209986854,0.6181818181818182,0.2328767123287671,0.036830372386561755,0.25720493093118457,0.7076865877892127
Calibrated RBF SVM,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,0.888,0.52,0.49826656394453006,0.48176682074987165,0.5409760066940111,0.4195495704666822,0.527027027027027,0.8863636363636364,-0.00548795179127674,0.2505153433600952,0.6941835904006719
Calibrated RBF SVM,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,0.956,0.576,0.4956079519186315,0.47777557624991746,0.5823399194087335,0.39778201981638034,0.5857740585774058,0.9523809523809523,-0.02108041071958773,0.24551681892495672,0.6841631216429505
Calibrated RBF SVM,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,1.0,0.576,0.5,0.5368186582809225,0.6171555886910718,0.36548223350253806,0.576,1.0,0.0,0.24421808946689874,0.6815397685504136
Calibrated RBF SVM,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,1.0,0.58,0.5,0.5369458128078818,0.6335419218528503,0.3670886075949367,0.58,1.0,0.0,0.2432961741756105,0.6796698231360127
Random Forest,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,0.252,0.508,0.5511064278187566,0.5429399367755532,0.627619292784694,0.4944014206086913,0.6825396825396826,0.2945205479452055,0.1160399522407521,0.2584710643232795,0.7105705022601796
Random Forest,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,0.692,0.5,0.4892141756548536,0.480803800719055,0.5017346045131028,0.47456914670029426,0.5202312138728323,0.6818181818181818,-0.023326140865549985,0.2584437332416459,0.711069071057844
Random Forest,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,0.484,0.464,0.465755234132488,0.47790766792153755,0.5891652634461293,0.46120689655172414,0.5537190082644629,0.4557823129251701,-0.06745496734082589,0.257184668540041,0.7076224010805604
Random Forest,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,0.636,0.5,0.47883909853249473,0.4841457023060797,0.5555867690337442,0.47647048968856276,0.559748427672956,0.6180555555555556,-0.043468943107240525,0.2550072788215426,0.7036334258923094
Random Forest,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,0.524,0.56,0.5576354679802955,0.5524466338259442,0.5944187051748878,0.5551889233954451,0.6335877862595419,0.5724137931034483,0.11391721044925998,0.24975436789474817,0.6929080598899893
XGBoost,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,0.352,0.544,0.5708640674394099,0.609786617492097,0.6587686778757815,0.5421245421245421,0.6818181818181818,0.410958904109589,0.1462683378095485,0.2607560602742284,0.7189232683747491
