Model,Fold,Training Start,Training End,Validation Start,Validation End,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
Elastic-Net Logistic,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,1.0,0.584,0.5,0.5,0.584,0.3686868686868687,0.584,1.0,0.0,0.24493650806969708,0.6830024143156146
Elastic-Net Logistic,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,1.0,0.528,0.5,0.5,0.528,0.34554973821989526,0.528,1.0,0.0,0.24972503126234352,0.6926041430055592
Elastic-Net Logistic,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,1.0,0.588,0.5,0.5,0.588,0.3702770780856423,0.588,1.0,0.0,0.24404049882543494,0.6812006214027713
Elastic-Net Logistic,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,1.0,0.576,0.5,0.5,0.576,0.36548223350253806,0.576,1.0,0.0,0.24482221639431465,0.6827641880804903
Elastic-Net Logistic,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,1.0,0.58,0.5,0.5,0.58,0.3670886075949367,0.58,1.0,0.0,0.24420688074620725,0.6815258891535225
Calibrated RBF SVM,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,0.824,0.568,0.5139620653319283,0.5169257112750263,0.5839044859313,0.48172604422604426,0.5922330097087378,0.8356164383561644,0.036142052350255624,0.24669245618223135,0.6865292322919047
Calibrated RBF SVM,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,1.0,0.528,0.5,0.5225988700564972,0.5271604971136092,0.34554973821989526,0.528,1.0,0.0,0.24929180686688152,0.6917412493716397
Calibrated RBF SVM,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,0.932,0.576,0.499966977082095,0.5448120995971204,0.6187461307771265,0.41885964912280704,0.5879828326180258,0.9319727891156463,-0.00012912796270501769,0.24378893412681868,0.6806843205031688
Calibrated RBF SVM,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,1.0,0.576,0.5,0.5064203354297694,0.581394616891345,0.36548223350253806,0.576,1.0,0.0,0.24451979499268925,0.6821559695100695
Calibrated RBF SVM,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,1.0,0.58,0.5,0.5466009852216749,0.6304453258696341,0.3670886075949367,0.58,1.0,0.0,0.24388426502723287,0.6808680042976352
Random Forest,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,0.26,0.508,0.5497233930453109,0.5634220231822971,0.644212619306243,0.49572803752111383,0.676923076923077,0.3013698630136986,0.11174839834181806,0.25466197824763326,0.7027435679473194
Random Forest,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,0.736,0.512,0.49878017462763224,0.5185541859270673,0.5419765364854984,0.47544028618602097,0.5271739130434783,0.7348484848484849,-0.002762960957493033,0.25367301536421455,0.7012377429682881
Random Forest,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,0.476,0.448,0.4506967835677961,0.4755960636681857,0.5963186810805831,0.4457297088876036,0.5378151260504201,0.43537414965986393,-0.09717921788714148,0.25675016147371366,0.7065776210008646
Random Forest,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,0.724,0.556,0.5224711740041929,0.5018343815513627,0.5688063358748002,0.512087912087912,0.5911602209944752,0.7430555555555556,0.04968509267498892,0.2487498744263542,0.6907826213340775
Random Forest,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,0.548,0.56,0.5536945812807881,0.5439737274220033,0.5981697280493025,0.5526709610254408,0.6277372262773723,0.593103448275862,0.1064975461196742,0.24930926504099346,0.692005887967685
XGBoost,1,2014-01-02,2017-01-12,2017-01-17,2018-01-11,250.0,0.584,0.408,0.552,0.5694151738672286,0.5964172813487882,0.6575305643251155,0.5519713261648745,0.6666666666666666,0.4657534246575342,0.13923440569300924,0.27461430315524205,0.7650367628271594
XGBoost,2,2014-01-02,2018-01-10,2018-01-12,2019-01-10,250.0,0.528,0.712,0.528,0.5161787365177196,0.5028890600924498,0.5381447946922684,0.4991511035653651,0.5393258426966292,0.7272727272727273,0.035671906237992115,0.30713494350917747,0.8569062878816469
XGBoost,3,2014-01-02,2019-01-09,2019-01-11,2020-01-08,250.0,0.588,0.576,0.54,0.5274750676969817,0.5096096691103627,0.5712704273651508,0.5272858810569065,0.6111111111111112,0.5986394557823129,0.05472828863603769,0.29015579267273267,0.8152529729682907
XGBoost,4,2014-01-02,2020-01-07,2020-01-09,2021-01-05,250.0,0.576,0.58,0.548,0.5366876310272537,0.5484145702306079,0.6145977767924815,0.5367257580478526,0.6068965517241379,0.6111111111111112,0.0734691801165512,0.2714947747920268,0.7544266047990736
XGBoost,5,2014-01-02,2021-01-04,2021-01-06,2021-12-31,250.0,0.58,0.424,0.532,0.545320197044335,0.5668308702791461,0.6079598202040147,0.53199251188019,0.6320754716981132,0.46206896551724136,0.09052452550075057,0.2841752464498432,0.7900059576901224
