number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_correlation_threshold,params_l1_ratio,params_tolerance,user_attrs_convergence_warnings,user_attrs_fold_1_auc,user_attrs_fold_2_auc,user_attrs_fold_3_auc,user_attrs_fold_4_auc,user_attrs_fold_5_auc,user_attrs_maximum_auc,user_attrs_mean_retained_features,user_attrs_minimum_auc,user_attrs_runtime_seconds,user_attrs_std_auc,state
0,0.4728413746875949,2026-07-23 06:21:53.755928,2026-07-23 06:22:01.014583,0 days 00:00:07.258655,0.6502468545951017,balanced,0.97,0.15601864044243652,2.0511104188433963e-05,0.0,0.4484984193888303,0.4528762198253724,0.4931642559936596,0.4821802935010482,0.487487684729064,0.4931642559936596,59.0,0.4484984193888303,7.254536722000012,0.02065149019057513,COMPLETE
1,0.4739556160848875,2026-07-23 06:22:01.227305,2026-07-23 06:22:04.390140,0 days 00:00:03.162835,2.124280213720889,balanced,0.96,0.020584494295802447,0.0008706020878304854,0.0,0.44125395152792407,0.45467385721623005,0.5010237104550558,0.4798873165618449,0.49293924466338257,0.5010237104550558,58.4,0.44125395152792407,3.1613668509999115,0.025344772869628048,COMPLETE
2,0.5,2026-07-23 06:22:04.555936,2026-07-23 06:22:05.159386,0 days 00:00:00.603450,0.0072746531356694235,none,0.91,0.3042422429595377,0.00011207606211860574,0.0,0.5,0.5,0.5,0.5,0.5,0.5,48.0,0.5,0.6014892719999807,0.0,COMPLETE
3,0.5,2026-07-23 06:22:05.362634,2026-07-23 06:22:05.868747,0 days 00:00:00.506113,0.004523529917658778,none,0.96,0.29214464853521815,5.4041038546473305e-05,0.0,0.5,0.5,0.5,0.5,0.5,0.5,58.4,0.5,0.5047360099999878,0.0,COMPLETE
4,0.4708833845128675,2026-07-23 06:22:06.062005,2026-07-23 06:22:09.387773,0 days 00:00:03.325768,0.2608388046560993,balanced,0.91,0.5924145688620425,1.2385137298860926e-05,0.0,0.47833245521601686,0.45159219311761684,0.472161680206063,0.4811975890985325,0.4711330049261084,0.4811975890985325,48.0,0.45159219311761684,3.32457291500009,0.011572790137361138,COMPLETE
5,0.4644875193781791,2026-07-23 06:22:09.548311,2026-07-23 06:22:12.223370,0 days 00:00:02.675059,28.759721562259614,none,0.9,0.9656320330745594,0.0004138040112561013,0.0,0.44171496311907266,0.4554442732408834,0.46258503401360546,0.48702830188679247,0.47566502463054183,0.48702830188679247,46.2,0.44171496311907266,2.6738050840001506,0.017585594741175985,COMPLETE
6,0.4721708536638448,2026-07-23 06:22:12.379480,2026-07-23 06:22:13.807939,0 days 00:00:01.428459,0.11702088154220885,none,0.96,0.12203823484477883,9.7803370166594e-05,0.0,0.4711538461538462,0.45005136106831023,0.4751997886533254,0.49384171907756813,0.47060755336617405,0.49384171907756813,58.4,0.45005136106831023,1.427371317000052,0.01558485659005409,COMPLETE
7,0.47379848582719547,2026-07-23 06:22:13.962950,2026-07-23 06:22:17.823348,0 days 00:00:03.860398,1.2976941336928305,balanced,0.92,0.31171107608941095,0.00010968217207529509,0.0,0.44494204425711276,0.45499486389316895,0.5029390396935474,0.4840146750524109,0.48210180623973725,0.5029390396935474,50.8,0.44494204425711276,3.859416144000079,0.023498712463249437,COMPLETE
8,0.47498084473693697,2026-07-23 06:22:17.992928,2026-07-23 06:22:24.687227,0 days 00:00:06.694299,4.388598863942796,none,0.99,0.9394989415641891,0.0006161049539380963,0.0,0.44072708113804004,0.45608628659476114,0.5053827356185192,0.4748427672955975,0.49786535303776686,0.5053827356185192,60.4,0.44072708113804004,6.692800824999949,0.027286990502817323,COMPLETE
9,0.48593052829313776,2026-07-23 06:22:24.848053,2026-07-23 06:22:25.428068,0 days 00:00:00.580015,0.008335230071817131,balanced,0.9,0.045227288910538066,4.473636174621264e-05,0.0,0.5147523709167545,0.48208782742681044,0.4693217092662307,0.4834250524109015,0.48006568144499184,0.5147523709167545,46.2,0.4693217092662307,0.5790069519998724,0.017043999454249507,COMPLETE
10,0.5,2026-07-23 06:22:25.597700,2026-07-23 06:22:25.986087,0 days 00:00:00.388387,0.001085087166598096,none,0.93,0.6541693059405227,0.0002693637964282296,0.0,0.5,0.5,0.5,0.5,0.5,0.5,52.6,0.5,0.3792812699998649,0.0,COMPLETE
11,0.48180952769749863,2026-07-23 06:22:26.151115,2026-07-23 06:22:26.711469,0 days 00:00:00.560354,0.020711488553488297,none,0.9400000000000001,0.3347951762232362,0.00010122138287185355,0.0,0.49252502634351947,0.4620570107858244,0.5262532197344958,0.4734997379454927,0.4547126436781609,0.5262532197344958,53.8,0.4547126436781609,0.5511594139998124,0.028651000535488632,COMPLETE
12,0.5,2026-07-23 06:22:26.872171,2026-07-23 06:22:27.248989,0 days 00:00:00.376818,0.0012956036713488441,none,0.9400000000000001,0.38816987279765214,4.842080300729568e-05,0.0,0.5,0.5,0.5,0.5,0.5,0.5,53.8,0.5,0.3687168499998279,0.0,COMPLETE
13,0.5,2026-07-23 06:22:27.425336,2026-07-23 06:22:27.779451,0 days 00:00:00.354115,0.012425336388415184,none,0.99,0.4739479040949035,0.00020662578587315057,0.0,0.5,0.5,0.5,0.5,0.5,0.5,60.4,0.5,0.34615367400010655,0.0,COMPLETE
14,0.4733880882630105,2026-07-23 06:22:27.942968,2026-07-23 06:22:28.789145,0 days 00:00:00.846177,0.03830391426060716,none,0.97,0.2023668405794144,4.9575472370886464e-05,0.0,0.49861696522655424,0.46623009758602985,0.4640380424014266,0.4642950733752621,0.4737602627257799,0.49861696522655424,59.0,0.4640380424014266,0.8378630500001236,0.014645629506499919,COMPLETE
15,0.5,2026-07-23 06:22:28.951617,2026-07-23 06:22:29.338580,0 days 00:00:00.386963,0.0042524859754345355,none,0.9400000000000001,0.5142229231731889,2.55566641444111e-05,0.0,0.5,0.5,0.5,0.5,0.5,0.5,53.8,0.5,0.378253524999991,0.0,COMPLETE
16,0.47298891201003235,2026-07-23 06:22:29.498852,2026-07-23 06:22:30.468188,0 days 00:00:00.969336,0.06913129410270352,none,0.92,0.24155493298033964,7.816404459369609e-05,0.0,0.4827449947312961,0.4620570107858244,0.46166039231226474,0.4899764150943396,0.46850574712643683,0.4899764150943396,50.8,0.46166039231226474,0.9582274029999098,0.01276417840477347,COMPLETE
17,0.5,2026-07-23 06:22:30.630969,2026-07-23 06:22:31.044673,0 days 00:00:00.413704,0.003095789201405349,none,0.9500000000000001,0.8080660344471642,0.00023798379727089689,0.0,0.5,0.5,0.5,0.5,0.5,0.5,57.2,0.5,0.4052029479998964,0.0,COMPLETE
18,0.5,2026-07-23 06:22:31.360935,2026-07-23 06:22:32.243352,0 days 00:00:00.882417,0.0027365712710104113,none,0.98,0.39998069938371483,0.0001601909113276631,0.0,0.5,0.5,0.5,0.5,0.5,0.5,59.8,0.5,0.8496321729999181,0.0,COMPLETE
19,0.492623973727422,2026-07-23 06:22:32.839483,2026-07-23 06:22:34.545549,0 days 00:00:01.706066,0.022536017029510767,none,0.91,0.6625170984835999,2.2682642784204916e-05,0.0,0.5,0.5,0.5,0.5,0.4631198686371101,0.5,48.0,0.4631198686371101,1.6492178319999766,0.016493296149308768,COMPLETE
20,0.5,2026-07-23 06:22:34.834691,2026-07-23 06:22:35.779069,0 days 00:00:00.944378,0.006082126196330532,none,0.93,0.2592905503350434,1.0220690547060621e-05,0.0,0.5,0.5,0.5,0.5,0.5,0.5,52.6,0.5,0.9274229799998466,0.0,COMPLETE
21,0.5,2026-07-23 06:22:36.010125,2026-07-23 06:22:36.704208,0 days 00:00:00.694083,0.0010221612671099853,none,0.92,0.721469991365448,0.0003176833633643919,0.0,0.5,0.5,0.5,0.5,0.5,0.5,50.8,0.5,0.6798381429998699,0.0,COMPLETE
22,0.5,2026-07-23 06:22:36.928084,2026-07-23 06:22:37.627169,0 days 00:00:00.699085,0.002030778526042906,none,0.93,0.4952354760667021,0.00014007479558461413,0.0,0.5,0.5,0.5,0.5,0.5,0.5,52.6,0.5,0.6855260529998759,0.0,COMPLETE
23,0.5,2026-07-23 06:22:37.872462,2026-07-23 06:22:39.404585,0 days 00:00:01.532123,0.008630567805301777,none,0.91,0.8458690768986152,6.975035369079126e-05,0.0,0.5,0.5,0.5,0.5,0.5,0.5,48.0,0.5,1.5179183810000723,0.0,COMPLETE
24,0.5,2026-07-23 06:22:39.899939,2026-07-23 06:22:40.238988,0 days 00:00:00.339049,0.0011563564431657542,none,0.9500000000000001,0.5527429578003435,0.000336157485769835,0.0,0.5,0.5,0.5,0.5,0.5,0.5,57.2,0.5,0.33061266599997907,0.0,COMPLETE
25,0.5,2026-07-23 06:22:40.420478,2026-07-23 06:22:40.853896,0 days 00:00:00.433418,0.004021074807355733,none,0.93,0.6440247600850949,3.5707384803469364e-05,0.0,0.5,0.5,0.5,0.5,0.5,0.5,52.6,0.5,0.42401691100008065,0.0,COMPLETE
26,0.492623973727422,2026-07-23 06:22:41.024136,2026-07-23 06:22:41.606243,0 days 00:00:00.582107,0.017998593730259478,balanced,0.9,0.40802556133899726,0.00015176218012577335,0.0,0.5,0.5,0.5,0.5,0.4631198686371101,0.5,46.2,0.4631198686371101,0.5717777360000582,0.016493296149308768,COMPLETE
27,0.4613854506108395,2026-07-23 06:22:41.778253,2026-07-23 06:22:42.168221,0 days 00:00:00.389968,0.09846328941567083,none,0.9500000000000001,0.10299944318924772,6.824661267360236e-05,,,,,,,,,,,,PRUNED
28,0.5,2026-07-23 06:22:42.336870,2026-07-23 06:22:42.768450,0 days 00:00:00.431580,0.002203510416591121,none,0.92,0.7648716133324006,0.0005002147368632751,0.0,0.5,0.5,0.5,0.5,0.5,0.5,50.8,0.5,0.4228530769998997,0.0,COMPLETE
29,0.47427112880154443,2026-07-23 06:22:42.936366,2026-07-23 06:22:43.209372,0 days 00:00:00.273006,0.05050657990214898,balanced,0.97,0.18027397318708294,0.00024272375722917783,,,,,,,,,,,,PRUNED
