number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_convergence_warnings,user_attrs_fold_1_auc,user_attrs_fold_2_auc,user_attrs_fold_3_auc,user_attrs_fold_4_auc,user_attrs_fold_5_auc,user_attrs_maximum_auc,user_attrs_minimum_auc,user_attrs_runtime_seconds,user_attrs_std_auc,state
0,0.5098936027106301,2026-07-23 06:23:19.125545,2026-07-23 06:24:12.308936,0 days 00:00:53.183391,none,16,sqrt,0.85,14,29,900,0,0.5659246575342466,0.49595531587057007,0.48054950135393965,0.48303197064989517,0.5240065681444992,0.5659246575342466,0.48054950135393965,53.17995001600002,0.03576155162817504,COMPLETE
1,0.5034511765272537,2026-07-23 06:24:12.469884,2026-07-23 06:25:20.854641,0 days 00:01:08.384757,balanced,4,0.70,0.75,13,30,800,0,0.5710616438356164,0.4906908063687725,0.46727428835611917,0.4925969601677149,0.4956321839080459,0.5710616438356164,0.46727428835611917,68.38210730700007,0.0394389408844302,COMPLETE
2,0.5199291076627189,2026-07-23 06:25:21.025062,2026-07-23 06:25:42.168011,0 days 00:00:21.142949,balanced_subsample,16,sqrt,1.0,5,30,400,0,0.5680979978925185,0.49666153055983564,0.4775774387424873,0.49941037735849053,0.5578981937602627,0.5680979978925185,0.4775774387424873,21.14081440799987,0.04036692886175007,COMPLETE
3,0.5139818061378276,2026-07-23 06:25:42.327195,2026-07-23 06:25:59.363586,0 days 00:00:17.036391,balanced_subsample,12,sqrt,0.85,9,10,300,0,0.5779768177028451,0.48690292758089365,0.47519978865332546,0.4832285115303983,0.546600985221675,0.5779768177028451,0.47519978865332546,17.03367267800013,0.04566850124153294,COMPLETE
4,0.5115455152056634,2026-07-23 06:25:59.780261,2026-07-23 06:26:26.100748,0 days 00:00:26.320487,balanced_subsample,10,log2,0.7,14,12,800,0,0.5690200210748155,0.5007062146892656,0.47480351363846507,0.48879716981132076,0.52440065681445,0.5690200210748155,0.47480351363846507,26.31636866300005,0.0369239956658074,COMPLETE
5,0.5031845322254063,2026-07-23 06:26:26.298475,2026-07-23 06:26:41.702638,0 days 00:00:15.404163,balanced_subsample,4,log2,0.9,2,12,500,0,0.5482744994731296,0.49171802773497686,0.49263588930717916,0.4703878406708596,0.5129064039408867,0.5482744994731296,0.4703878406708596,15.401082954000003,0.02935130961994027,COMPLETE
6,0.5130319433441913,2026-07-23 06:26:41.870342,2026-07-23 06:27:25.753396,0 days 00:00:43.883054,balanced,12,0.30,0.95,7,30,500,0,0.5573630136986302,0.5120698510529019,0.47196354269863294,0.4924004192872118,0.5313628899835797,0.5573630136986302,0.47196354269863294,43.88016509399995,0.03322072523870112,COMPLETE
7,0.5043130962029125,2026-07-23 06:27:25.931725,2026-07-23 06:28:37.657390,0 days 00:01:11.725665,none,12,0.50,0.85,3,15,500,0,0.5636854583772392,0.4861325115562404,0.47810580542896775,0.48218029350104824,0.5114614121510672,0.5636854583772392,0.47810580542896775,71.72301860200014,0.03564895690724557,COMPLETE
8,0.5015919671385087,2026-07-23 06:28:37.825169,2026-07-23 06:29:05.010113,0 days 00:00:27.184944,balanced,6,log2,0.9,8,6,900,0,0.553082191780822,0.4908834103749358,0.4769169803843868,0.4807389937106918,0.5063382594417077,0.553082191780822,0.4769169803843868,27.182037920999846,0.030952161412408998,COMPLETE
9,0.5030480518534013,2026-07-23 06:29:05.178998,2026-07-23 06:30:51.392527,0 days 00:01:46.213529,balanced_subsample,6,0.70,0.7,5,16,900,0,0.5679004214963118,0.49338726245505904,0.4609338881183541,0.4946278825995807,0.49839080459770113,0.5679004214963118,0.4609338881183541,106.21036150500004,0.03925987993316427,COMPLETE
10,0.5115461593743811,2026-07-23 06:30:51.593642,2026-07-23 06:31:05.426796,0 days 00:00:13.833154,balanced_subsample,16,sqrt,0.6,10,23,300,0,0.5638171759747101,0.5039162814586543,0.48893732250181626,0.48362159329140464,0.5174384236453201,0.5638171759747101,0.48362159329140464,13.814348585000062,0.03207855158564723,COMPLETE
11,0.5046083542923157,2026-07-23 06:31:05.599926,2026-07-23 06:31:20.744768,0 days 00:00:15.144842,balanced_subsample,none,sqrt,1.0,9,22,300,0,0.5784378292939936,0.483949666153056,0.47513374281751536,0.47307389937106925,0.5124466338259441,0.5784378292939936,0.47307389937106925,15.132562894999865,0.04416499170575157,COMPLETE
12,0.5102634668356275,2026-07-23 06:31:20.908906,2026-07-23 06:31:40.036679,0 days 00:00:19.127773,balanced_subsample,8,sqrt,1.0,6,6,400,0,0.5638171759747103,0.487673343605547,0.47625652202628627,0.4908280922431866,0.5327422003284072,0.5638171759747103,0.47625652202628627,19.11663403800003,0.036802897203743336,COMPLETE
13,0.5157583810480528,2026-07-23 06:31:40.199676,2026-07-23 06:31:57.921788,0 days 00:00:17.722112,balanced_subsample,16,sqrt,0.8,11,24,400,0,0.5669125395152793,0.4969183359013868,0.49250379763555907,0.48945230607966456,0.5330049261083745,0.5669125395152793,0.48945230607966456,17.710369980999985,0.033548188386511024,COMPLETE
14,0.5091852496208823,2026-07-23 06:31:58.133982,2026-07-23 06:32:42.214238,0 days 00:00:44.080256,balanced_subsample,16,0.30,0.75,11,25,600,0,0.5671101159114857,0.49550590652285564,0.4814080972194703,0.4882075471698113,0.5136945812807883,0.5671101159114857,0.4814080972194703,44.06098474800001,0.034548454488058454,COMPLETE
15,0.5070371469738586,2026-07-23 06:32:42.384341,2026-07-23 06:33:23.666690,0 days 00:00:41.282349,none,16,0.50,0.6,4,26,400,0,0.5633561643835617,0.4998073959938367,0.4847103890099729,0.491745283018868,0.49556650246305417,0.5633561643835617,0.4847103890099729,41.27060522800002,0.03196874227709269,COMPLETE
16,0.5110620490138175,2026-07-23 06:33:23.836667,2026-07-23 06:33:50.059394,0 days 00:00:26.222727,balanced_subsample,16,sqrt,0.8,12,19,600,0,0.5587460484720759,0.4982023626091423,0.484842480681593,0.4914832285115304,0.5220361247947456,0.5587460484720759,0.484842480681593,26.21078178500011,0.030126241276486398,COMPLETE
17,0.5097363008027537,2026-07-23 06:33:50.218182,2026-07-23 06:34:09.152241,0 days 00:00:18.934059,balanced_subsample,8,sqrt,0.95,1,20,400,0,0.5403055848261327,0.49056240369799686,0.4940228518591902,0.48172169811320753,0.5420689655172414,0.5420689655172414,0.48172169811320753,18.92168955299985,0.0290656631826129,COMPLETE
18,0.5113372668513196,2026-07-23 06:34:09.319187,2026-07-23 06:34:29.673360,0 days 00:00:20.354173,none,none,sqrt,0.65,15,26,600,0,0.5707323498419389,0.49216743708269134,0.4904563767254475,0.4948244234800838,0.5085057471264368,0.5707323498419389,0.4904563767254475,20.342758987999787,0.033955711336330616,COMPLETE
