number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_correlation_threshold,params_gamma,params_shrinking,params_tolerance,user_attrs_convergence_warnings,user_attrs_fold_1_auc,user_attrs_fold_2_auc,user_attrs_fold_3_auc,user_attrs_fold_4_auc,user_attrs_fold_5_auc,user_attrs_maximum_auc,user_attrs_mean_retained_features,user_attrs_minimum_auc,user_attrs_runtime_seconds,user_attrs_std_auc,state
0,0.5031662009543554,2026-07-23 06:22:43.552608,2026-07-23 06:22:44.595322,0 days 00:00:01.042714,0.09169770785664828,balanced,0.91,0.0020349616224981555,True,0.0012087164274488635,0.0,0.5125790305584826,0.5225346687211094,0.4822666930850011,0.5022929769392034,0.4961576354679803,0.5225346687211094,48.0,0.4822666930850011,1.0413552499999241,0.015414367034740459,COMPLETE
1,0.4801940318927255,2026-07-23 06:22:44.755327,2026-07-23 06:22:46.112036,0 days 00:00:01.356709,16.150593059496643,balanced,0.93,0.0010415605048648957,False,0.00027673111425162845,0.0,0.49071390937829296,0.4677709296353364,0.45611254210422036,0.4993448637316562,0.48702791461412154,0.4993448637316562,52.6,0.45611254210422036,1.3554376029999275,0.01773679618487771,COMPLETE
2,0.5272734640615131,2026-07-23 06:22:46.306659,2026-07-23 06:22:48.309599,0 days 00:00:02.002940,23.599281293982422,none,0.9,0.2487462779300569,True,0.008109167109347332,0.0,0.5202845100105373,0.5523882896764253,0.5177993527508091,0.5191299790356394,0.5267651888341544,0.5523882896764253,46.2,0.5177993527508091,2.0015195309999854,0.014456256617768346,COMPLETE
3,0.4680220298935206,2026-07-23 06:22:48.473907,2026-07-23 06:22:49.573173,0 days 00:00:01.099266,38.76094171803448,balanced,0.9,0.00155601580069026,True,0.0012201269800400142,0.0,0.47161485774499473,0.4643682588597843,0.44534707086718184,0.47628406708595383,0.48249589490968803,0.48249589490968803,46.2,0.44534707086718184,1.0981842660000893,0.014301802759257536,COMPLETE
4,0.5242684522523295,2026-07-23 06:22:49.728529,2026-07-23 06:22:50.827501,0 days 00:00:01.098972,43.11724775436753,balanced,0.99,0.43713170124698264,True,0.00023005368305599854,0.0,0.506190727081138,0.5456471494607088,0.5039957730665082,0.5418304507337526,0.5236781609195402,0.5456471494607088,60.4,0.5039957730665082,1.0978545220000342,0.019388183241236142,COMPLETE
5,0.4813407077083315,2026-07-23 06:22:50.999784,2026-07-23 06:22:52.918964,0 days 00:00:01.919180,4.88325178967975,none,0.98,0.03274486343642997,False,0.00025928819394878513,0.0,0.47787144362486833,0.4632126348228043,0.47222772604187313,0.47720125786163525,0.5161904761904762,0.5161904761904762,59.8,0.4632126348228043,1.9169526690000112,0.0203430004115015,COMPLETE
6,0.4900936437608607,2026-07-23 06:22:53.092475,2026-07-23 06:22:54.089710,0 days 00:00:00.997235,0.602900508221495,balanced,0.97,0.017484478274588905,False,0.0006286280732298511,0.0,0.5042808219178082,0.4932588597842836,0.47460537613103493,0.4879454926624738,0.49037766830870283,0.5042808219178082,59.0,0.47460537613103493,0.9961515269999381,0.010675629651105925,COMPLETE
7,0.5041597265349608,2026-07-23 06:22:54.254187,2026-07-23 06:22:55.251771,0 days 00:00:00.997584,1.4458986649589238,balanced,0.96,0.0006673096475440694,False,0.00038077248258733476,0.0,0.5069810326659642,0.5224704673857217,0.4905224225612576,0.49855870020964366,0.5022660098522168,0.5224704673857217,58.4,0.4905224225612576,0.9964956530000109,0.011876202225786866,COMPLETE
8,0.4726973116930308,2026-07-23 06:22:55.426601,2026-07-23 06:22:56.442663,0 days 00:00:01.016062,0.41288268272654494,none,0.91,0.0017421201635873908,False,0.0003095184243850324,0.0,0.4811643835616438,0.4600025680534155,0.46628360081896836,0.4962002096436059,0.45983579638752053,0.4962002096436059,48.0,0.45983579638752053,1.0149517489999198,0.01574633526656996,COMPLETE
9,0.5088653774355609,2026-07-23 06:22:56.604134,2026-07-23 06:22:57.583501,0 days 00:00:00.979367,0.02576149806946881,none,0.96,0.5950722698017195,False,0.0002495512610830363,0.0,0.48854056902002113,0.5263225475089882,0.4795588138167889,0.5306931341719078,0.5192118226600986,0.5306931341719078,58.4,0.4795588138167889,0.9782972560001326,0.023239111365151145,COMPLETE
10,0.48780610980227884,2026-07-23 06:22:57.742896,2026-07-23 06:22:57.988181,0 days 00:00:00.245285,0.011016192398115878,none,0.9400000000000001,0.0001776357886290285,True,0.008940439810448387,,,,,,,,,,,,PRUNED
11,0.5112121028847515,2026-07-23 06:22:58.149690,2026-07-23 06:22:59.678730,0 days 00:00:01.529040,86.81025978306664,none,0.99,0.8612593020697628,True,0.009581214376905732,0.0,0.4810985247629083,0.5342835130970724,0.47823789710058784,0.5472353249475891,0.5152052545155994,0.5472353249475891,60.4,0.47823789710058784,1.5137195439999687,0.03098400228875122,COMPLETE
12,0.5230499011749388,2026-07-23 06:22:59.874805,2026-07-23 06:23:01.873984,0 days 00:00:01.999179,8.325789631760083,none,0.9400000000000001,0.1497126692269417,True,0.00010285543367670401,0.0,0.5023709167544784,0.5199024139702106,0.5060431939766198,0.5242400419287212,0.5626929392446633,0.5626929392446633,53.8,0.5023709167544784,1.9871235170001,0.023977812997156192,COMPLETE
13,0.5307789043784638,2026-07-23 06:23:02.034645,2026-07-23 06:23:03.785509,0 days 00:00:01.750864,91.88067669823097,balanced,0.93,0.07591811995991772,True,0.003356745202586898,0.0,0.5007244467860906,0.5291474062660503,0.5113929066772339,0.5438941299790356,0.5687356321839081,0.5687356321839081,52.6,0.5007244467860906,1.7422313649999523,0.02690014610734085,COMPLETE
