number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_convergence_warnings,user_attrs_fold_1_auc,user_attrs_fold_2_auc,user_attrs_fold_3_auc,user_attrs_fold_4_auc,user_attrs_fold_5_auc,user_attrs_maximum_auc,user_attrs_minimum_auc,user_attrs_runtime_seconds,user_attrs_std_auc,state
0,0.5073978405934143,2026-07-23 06:45:13.577107,2026-07-23 06:45:29.795318,0 days 00:00:16.218211,0.8,0.24261000453222936,0.04429092492239827,3,1.26053829440344,900,1.3908206733041686e-05,0.00315288033792688,1.2,0.8,0,0.5549262381454162,0.4927452491011813,0.45498976289544946,0.49633123689727465,0.5379967159277503,0.5549262381454162,0.45498976289544946,16.215016487000412,0.03962011644477136,COMPLETE
1,0.5143142655693351,2026-07-23 06:45:29.950613,2026-07-23 06:45:36.550902,0 days 00:00:06.600289,0.7,4.880016579087708,0.05815402447935478,6,4.092045293756184,800,0.051460736077152194,0.07847594725847949,0.8999999999999999,0.85,0,0.5553872497365648,0.5284411915767848,0.4515553794333267,0.48833857442348017,0.547848932676519,0.5553872497365648,0.4515553794333267,6.597817193000083,0.0436593297141299,COMPLETE
2,0.5100805068714613,2026-07-23 06:45:36.720734,2026-07-23 06:45:42.014328,0 days 00:00:05.293594,0.75,4.094367137826882,0.01356014322091055,3,4.193830780458453,550,3.324952888486983e-06,9.3431615427731,0.85,0.7,0,0.5800842992623815,0.48324345146379044,0.48220064724919093,0.5074685534591195,0.4974055829228243,0.5800842992623815,0.48220064724919093,5.291009215000031,0.04051395149314285,COMPLETE
3,0.504691084097985,2026-07-23 06:45:42.172570,2026-07-23 06:45:53.115163,0 days 00:00:10.942593,0.7,2.288689957303233,0.013490718094808648,5,3.382589481599207,700,0.00798047825858824,0.01212398433942841,0.75,0.95,0,0.5543335089567966,0.5007704160246533,0.4514893335975167,0.46855345911949686,0.5483087027914614,0.5543335089567966,0.4514893335975167,10.939902053999958,0.04614811166205347,COMPLETE
4,0.5112526083356471,2026-07-23 06:45:53.276356,2026-07-23 06:46:05.011816,0 days 00:00:11.735460,0.95,3.7087706398030478,0.023156624192857057,6,3.8692937264416027,700,7.137168138339537e-06,4.798644196908178,0.75,0.6,0,0.59213645943098,0.4928094504365691,0.4722277260418731,0.483687106918239,0.5154022988505746,0.59213645943098,0.4722277260418731,11.732509861999915,0.0479123305609006,COMPLETE
5,0.5179378884697734,2026-07-23 06:46:05.183697,2026-07-23 06:46:08.713900,0 days 00:00:03.530203,0.7,4.920182825191126,0.015939837474385442,6,7.360690078130776,300,0.056437480853964855,0.053778781967373485,0.75,0.7,0,0.6086670179135932,0.4795197740112994,0.48127600554785027,0.5140854297693921,0.5061412151067324,0.6086670179135932,0.4795197740112994,3.5270411510000486,0.052928780091815474,COMPLETE
6,0.5172779164188749,2026-07-23 06:46:08.879483,2026-07-23 06:46:17.473633,0 days 00:00:08.594150,0.8,0.9387286407546475,0.017520990487583855,3,6.998431290728606,500,0.00011877145718164078,0.00400838292366677,0.75,0.9,0,0.5974051633298209,0.49749614791987673,0.4487814543293045,0.5074030398322852,0.535303776683087,0.5974051633298209,0.4487814543293045,8.591602644999966,0.054602894170384615,COMPLETE
7,0.5030186170643438,2026-07-23 06:46:17.641256,2026-07-23 06:46:21.060566,0 days 00:00:03.419310,0.85,4.701523167153115,0.14630062199490856,6,1.6211700931951787,550,0.13546793292135242,0.0014775621403904184,0.7999999999999999,0.7,0,0.5157402528977871,0.4962121212121212,0.48332342645796184,0.5200471698113207,0.4997701149425288,0.5200471698113207,0.48332342645796184,3.4169174500002555,0.014971584015884894,COMPLETE
8,0.5083651521283672,2026-07-23 06:46:21.220264,2026-07-23 06:46:23.357741,0 days 00:00:02.137477,0.9,4.7043886462036415,0.033329739430308127,6,5.313372271252324,200,0.12224715849494161,0.012206154606411054,1.45,1.0,0,0.5756717597471023,0.5038520801232665,0.43345882042137246,0.4836871069182391,0.5451559934318555,0.5756717597471023,0.43345882042137246,2.1351763759998903,0.05505469484311829,COMPLETE
9,0.5223040111905487,2026-07-23 06:46:23.520159,2026-07-23 06:46:37.216474,0 days 00:00:13.696315,1.0,4.203962000377418,0.01329737346966844,5,9.103294388122826,700,0.0010757260272004682,1.2840792434554928,1.25,0.7,0,0.6026080084299261,0.48722393425783256,0.47368073442969416,0.5150681341719078,0.5329392446633826,0.6026080084299261,0.47368073442969416,13.6936420549996,0.05051987955359865,COMPLETE
