Feature_A,Feature_B,Pair_Correlation,Dropped_Feature,Retained_Feature,Dropped_Mean_Absolute_Correlation
EMA_12_TO_26,MACD_NORMALISED,0.9969279344175228,MACD_NORMALISED,EMA_12_TO_26,0.41485503708753596
PARKINSON_VOLATILITY_21,GARMAN_KLASS_VOLATILITY_21,0.9963839185178927,PARKINSON_VOLATILITY_21,GARMAN_KLASS_VOLATILITY_21,0.34161353149613743
PARKINSON_VOLATILITY_10,GARMAN_KLASS_VOLATILITY_10,0.9944349157362421,PARKINSON_VOLATILITY_10,GARMAN_KLASS_VOLATILITY_10,0.38042470110276005
VOLATILITY_63,DOWNSIDE_VOLATILITY_63,0.991240122526198,DOWNSIDE_VOLATILITY_63,VOLATILITY_63,0.22110369635661573
SMA_10_TO_50,MACD_SIGNAL_NORMALISED,0.9864307909507168,MACD_SIGNAL_NORMALISED,SMA_10_TO_50,0.350030350245429
VOLATILITY_21,GARMAN_KLASS_VOLATILITY_21,0.9743936750282597,VOLATILITY_21,GARMAN_KLASS_VOLATILITY_21,0.3127504246758196
GARMAN_KLASS_VOLATILITY_10,ATR_14_NORMALISED,0.9618453139527766,GARMAN_KLASS_VOLATILITY_10,ATR_14_NORMALISED,0.34616769148476684
DOWNSIDE_VOLATILITY_21,ATR_14_NORMALISED,0.9567146080814015,DOWNSIDE_VOLATILITY_21,ATR_14_NORMALISED,0.33222899759150154
VOLATILITY_10,ATR_14_NORMALISED,0.9542904535484539,VOLATILITY_10,ATR_14_NORMALISED,0.3286332056247329
CLOSE_TO_SMA_50,EMA_12_TO_26,0.9519083328468628,CLOSE_TO_SMA_50,EMA_12_TO_26,0.3988068822666949
